text,intent
"I no longer need this service, cancel my account.",Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to stop my subscription and be refunded. Order #12345,Account Cancellation
I am NOT happy. Please close my account and refund the remaining period.,Account Cancellation
How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
"I am NOT happy. I no longer need this service, cancel my account.",Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I am NOT happy. I want to cancel my subscription immediately.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
"<p>I no longer need this service, cancel my account.</p>",Account Cancellation
<p>I want to stop my subscription and be refunded.</p>,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded. Visit http://example.com for details.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
<p>I want to cancel my subscription immediately.</p>,Account Cancellation
"I no longer need this service, cancel my account. Order #12345",Account Cancellation
<p>I am NOT happy. I want to stop my subscription and be refunded.</p>,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to cancel my subscription immediately. Order #12345,Account Cancellation
I want to stop my subscription and be refunded. Visit http://example.com for details.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
"I no longer need this service, cancel my account. Visit http://example.com for details. Order #12345",Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I am NOT happy. How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I am NOT happy. Please close my account and refund the remaining period. !!!,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
"I am NOT happy. I no longer need this service, cancel my account. Visit http://example.com for details.",Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
<p>How do I delete my account? Visit http://example.com for details.</p>,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
How do I delete my account?,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account? !!!,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
How do I delete my account?,Account Cancellation
I am NOT happy. How do I delete my account?,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
<p>I want to stop my subscription and be refunded.</p>,Account Cancellation
How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I am NOT happy. Please close my account and refund the remaining period.,Account Cancellation
"I am NOT happy. I no longer need this service, cancel my account.",Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
How do I delete my account? !!!,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I am NOT happy. I want to cancel my subscription immediately.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I am NOT happy. I want to cancel my subscription immediately.,Account Cancellation
I want to stop my subscription and be refunded. Visit http://example.com for details.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I am NOT happy. Please close my account and refund the remaining period.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
Is there a roadmap for upcoming features?,General Inquiry
<p>Do you offer discounts for students?</p>,General Inquiry
<p>Where can I find the documentation for this feature?</p>,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
<p>How do I contact sales for enterprise plans?</p>,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
How do I contact sales for enterprise plans? Visit http://example.com for details.,General Inquiry
How do I contact sales for enterprise plans? Order #12345,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
What are your support hours?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
<p>I am NOT happy. Where can I find the documentation for this feature?</p>,General Inquiry
Do you offer discounts for students?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
What are your support hours?,General Inquiry
Do you offer discounts for students?,General Inquiry
I am NOT happy. Do you offer discounts for students?,General Inquiry
What are your support hours?,General Inquiry
Where can I find the documentation for this feature? Visit http://example.com for details.,General Inquiry
I am NOT happy. What are your support hours?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
I am NOT happy. Where can I find the documentation for this feature? !!!,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Do you offer discounts for students?,General Inquiry
What are your support hours?,General Inquiry
<p>Is there a roadmap for upcoming features?</p>,General Inquiry
Where can I find the documentation for this feature? Visit http://example.com for details.,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
What are your support hours? Visit http://example.com for details.,General Inquiry
<p>I am NOT happy. Where can I find the documentation for this feature?</p>,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. What are your support hours?,General Inquiry
How do I contact sales for enterprise plans? Visit http://example.com for details.,General Inquiry
Do you offer discounts for students? Visit http://example.com for details.,General Inquiry
I am NOT happy. Do you offer discounts for students?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
<p>I am NOT happy. Is there a roadmap for upcoming features?</p>,General Inquiry
I am NOT happy. Do you offer discounts for students?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Do you offer discounts for students?,General Inquiry
<p>How do I contact sales for enterprise plans?</p>,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. Do you offer discounts for students?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
What are your support hours? Visit http://example.com for details.,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
What are your support hours?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Do you offer discounts for students?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
What are your support hours?,General Inquiry
Do you offer discounts for students? Order #12345,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Do you offer discounts for students?,General Inquiry
I am NOT happy. What are your support hours?,General Inquiry
I am NOT happy. What are your support hours?,General Inquiry
What are your support hours?,General Inquiry
<p>How do I contact sales for enterprise plans?</p>,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
<p>How do I contact sales for enterprise plans?</p>,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Do you offer discounts for students?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. Where can I find the documentation for this feature?,General Inquiry
Is there a roadmap for upcoming features? Order #12345,General Inquiry
I am NOT happy. How do I contact sales for enterprise plans?,General Inquiry
How do I contact sales for enterprise plans? Order #12345,General Inquiry
What are your support hours?,General Inquiry
I am NOT happy. Where can I find the documentation for this feature?,General Inquiry
Do you offer discounts for students?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
What are your support hours? Order #12345,General Inquiry
<p>Is there a roadmap for upcoming features?</p>,General Inquiry
What are your support hours?,General Inquiry
<p>Where can I find the documentation for this feature?</p>,General Inquiry
I am NOT happy. How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
Where can I find the documentation for this feature? Visit http://example.com for details.,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
How do I contact sales for enterprise plans? !!!,General Inquiry
I am NOT happy. Do you offer discounts for students?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
I am NOT happy. Where can I find the documentation for this feature? Order #12345,General Inquiry
Is there a roadmap for upcoming features? Order #12345,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Do you offer discounts for students?,General Inquiry
What are your support hours?,General Inquiry
<p>Is there a roadmap for upcoming features?</p>,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
What are your support hours?,General Inquiry
<p>Do you offer discounts for students?</p>,General Inquiry
What are your support hours? Order #12345,General Inquiry
Do you offer discounts for students?,General Inquiry
Do you offer discounts for students? Order #12345,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
How do I contact sales for enterprise plans? Visit http://example.com for details.,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
I am NOT happy. Do you offer discounts for students?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
<p>Do you offer discounts for students?</p>,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Do you offer discounts for students? !!!,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature? Visit http://example.com for details.,General Inquiry
Do you offer discounts for students?,General Inquiry
I am NOT happy. What are your support hours? Order #12345,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
What are your support hours?,General Inquiry
What are your support hours?,General Inquiry
Do you offer discounts for students?,General Inquiry
I am NOT happy. What are your support hours?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
I am NOT happy. How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. Where can I find the documentation for this feature?,General Inquiry
Do you offer discounts for students? Order #12345,General Inquiry
Do you offer discounts for students?,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
Do you offer discounts for students?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
<p>How do I contact sales for enterprise plans?</p>,General Inquiry
<p>How do I contact sales for enterprise plans?</p>,General Inquiry
<p>Is there a roadmap for upcoming features?</p>,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Do you offer discounts for students?,General Inquiry
Do you offer discounts for students?,General Inquiry
I am NOT happy. Do you offer discounts for students? Order #12345,General Inquiry
<p>I am NOT happy. Do you offer discounts for students?</p>,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
<p>I am NOT happy. Where can I find the documentation for this feature? Visit http://example.com for details.</p>,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Where can I find the documentation for this feature? !!!,General Inquiry
What are your support hours?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
What are your support hours?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Where can I find the documentation for this feature? !!!,General Inquiry
I am NOT happy. How do I contact sales for enterprise plans?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
I am NOT happy. What are your support hours?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
I am NOT happy. How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. What are your support hours?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
<p>Where can I find the documentation for this feature? Visit http://example.com for details.</p>,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
What are your support hours? Visit http://example.com for details.,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
What are your support hours?,General Inquiry
Do you offer discounts for students?,General Inquiry
What are your support hours?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature? !!!,General Inquiry
What are your support hours?,General Inquiry
What are your support hours?,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
What are your support hours? Visit http://example.com for details.,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
What are your support hours?,General Inquiry
<p>Do you offer discounts for students?</p>,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. Where can I find the documentation for this feature?,General Inquiry
What are your support hours?,General Inquiry
I am NOT happy. What are your support hours? Visit http://example.com for details. Order #12345,General Inquiry
Is there a roadmap for upcoming features?,General Inquiry
I am NOT happy. What are your support hours?,General Inquiry
<p>What are your support hours?</p>,General Inquiry
What are your support hours?,General Inquiry
<p>How do I contact sales for enterprise plans?</p>,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
I am NOT happy. Where can I find the documentation for this feature? !!!,General Inquiry
I am NOT happy. How do I contact sales for enterprise plans? Visit http://example.com for details.,General Inquiry
Do you offer discounts for students?,General Inquiry
Do you offer discounts for students? !!!,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
I am NOT happy. How do I contact sales for enterprise plans?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
What are your support hours?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
What are your support hours?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
<p>Is there a roadmap for upcoming features?</p>,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
How do I contact sales for enterprise plans? Visit http://example.com for details.,General Inquiry
I am NOT happy. Where can I find the documentation for this feature?,General Inquiry
Do you offer discounts for students?,General Inquiry
How do I contact sales for enterprise plans?,General Inquiry
How do I contact sales for enterprise plans? Visit http://example.com for details.,General Inquiry
I am NOT happy. Is there a roadmap for upcoming features?,General Inquiry
Where can I find the documentation for this feature? Visit http://example.com for details.,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
Do you offer discounts for students?,General Inquiry
Where can I find the documentation for this feature?,General Inquiry
